1731165088, temp, 16.1
1731165093, temp, 24.1
1731165098, temp, 18.6
1731165103, umid, 40.6
1731165108, umid, 36.4
1731165113, temp, 29.0
1731165118, umid, 58.6
1731165123, temp, 15.3
1731165128, umid, 48.8
1731165133, temp, 25.9
1731165138, umid, 64.8
1731165143, temp, 28.9
1731165148, umid, 78.6
1731165153, temp, 15.5
1731165158, temp, 27.6
1731165163, umid, 67.8
1731165168, temp, 16.5
1731165173, temp, 22.5
1731165178, temp, 15.7
1731165183, temp, 18.6
1731165188, temp, 20.6
1731165193, temp, 16.6
1731165198, temp, 27.6
1731165203, temp, 18.9
1731165208, temp, 15.7
1731165213, umid, 63.6
1731165218, umid, 37.9
1731165223, temp, 21.2
1731165228, temp, 29.6
1731165233, temp, 17.1
1731165238, umid, 52.9
1731165243, temp, 18.5
1731165248, temp, 23.0
1731165253, temp, 21.3
1731165258, umid, 67.4
1731165263, temp, 26.3
1731165268, umid, 51.1
1731165273, umid, 72.0
1731165278, temp, 28.0
1731165283, umid, 53.7
1731165288, umid, 40.2
1731165293, temp, 17.9
1731165298, temp, 20.5
1731165303, umid, 52.8
1731165308, temp, 22.9
1731165313, umid, 30.1
1731165318, temp, 17.2
1731165323, temp, 18.7
1731165328, umid, 45.3
1731165333, temp, 23.2
1731165338, umid, 47.1
1731165343, umid, 39.1
1731165348, temp, 18.8
1731165353, temp, 26.4
1731165358, temp, 18.1
1731165363, umid, 44.4
1731165368, temp, 18.7
1731165373, temp, 27.8
1731165378, umid, 48.5
1731165383, temp, 23.1
1731165388, temp, 28.2
1731165393, temp, 15.2
1731165398, umid, 53.2
1731165403, umid, 76.8
1731165408, umid, 45.5
1731165413, temp, 18.3
1731165418, umid, 75.4
1731165423, temp, 28.0
1731165428, temp, 27.6
1731165433, temp, 15.4
1731165438, temp, 18.3
1731165443, temp, 21.9
1731165448, umid, 78.9
1731165453, umid, 30.1
1731165458, umid, 55.9
1731165463, temp, 22.8
1731165468, umid, 30.5
1731165473, umid, 63.7
1731165478, temp, 28.3
1731165483, temp, 15.5
1731165488, temp, 15.4
1731165493, temp, 16.8
1731165498, temp, 23.2
1731165503, temp, 23.6
1731165508, temp, 19.2
1731165513, umid, 66.4
1731165518, umid, 76.0
1731165523, temp, 16.6
1731165528, umid, 68.7
1731165533, temp, 29.6
1731165538, umid, 76.1
1731165543, temp, 18.6
1731165548, umid, 61.4
1731165553, umid, 76.5
1731165558, umid, 52.6
1731165563, temp, 24.9
1731165568, umid, 72.0
1731165573, temp, 23.7
1731165578, temp, 23.3
1731165583, umid, 44.3
1731165588, temp, 16.2
1731165593, umid, 68.7
1731165598, temp, 28.0
1731165603, temp, 29.4
1731165608, umid, 63.8
1731165613, umid, 70.4
1731165618, umid, 55.2
1731165623, temp, 15.4
1731165628, temp, 16.9
1731165633, temp, 15.6
1731165638, umid, 69.9
1731165643, umid, 60.3
1731165648, temp, 26.5
1731165653, temp, 18.6
1731165658, umid, 53.3
1731165663, temp, 21.2
1731165668, temp, 26.4
1731165673, umid, 60.6
1731165678, umid, 47.0
1731165683, umid, 64.6
1731165688, temp, 22.9
1731165693, temp, 23.2
1731165698, umid, 67.8
1731165703, umid, 49.6
1731165708, umid, 38.6
1731165713, temp, 29.3
1731165718, umid, 49.3
1731165723, temp, 17.9
